title,titleUrl,subtitles/0/name,subtitles/0/url,time
Watched וקטורים - 26 - משוואת מישור במרחב,https://www.youtube.com/watch?v=x5rkLMi9wlA,Technion,https://www.youtube.com/channel/UC4_i7cYMdM0MkP-2ywVlhKQ,2023-01-05T18:23:28.122Z
Watched וקטורים - 27 - מציאת משוואת מישור,https://www.youtube.com/watch?v=jmCGdJjoMYo,Technion,https://www.youtube.com/channel/UC4_i7cYMdM0MkP-2ywVlhKQ,2023-01-05T18:21:17.288Z
Watched كيف تتخلص من فقدان الرغبة للدراسة ؟,https://www.youtube.com/watch?v=E6xPeN5o0IA,Saif Nasser,https://www.youtube.com/channel/UCEhsRJ5BgAi63gLi_wMqSWQ,2023-01-05T06:48:38.154Z
Watched فقط في أشهر تعلمت اللغة الإنجليزية من الصفر والأن أصبَحَت كلغتي الأم 👨🏼‍🎓 | تجربة شخصية(ِ A1➡ C1),https://www.youtube.com/watch?v=ITXezllE-LE,يوسف تحسين,https://www.youtube.com/channel/UC2LVicB0nPErT8HSisCD3qg,2023-01-04T09:40:45.817Z
Watched How I Study 12 Hours a Day With 100% Focus,https://www.youtube.com/watch?v=eP8JhBvJu0k,Mike Dee,https://www.youtube.com/channel/UCl2d5Qgfcactbzkfpp0ayug,2023-01-04T04:10:36.378Z
Watched how I studied for 12 hours a day for over a year,https://www.youtube.com/watch?v=kICh_d6tHQk,James Scholz,https://www.youtube.com/channel/UCMwo6hT5hI3R56rO2HYP-wQ,2023-01-02T21:02:35.516Z
Watched احزر مين العراقي,https://www.youtube.com/watch?v=NQ63vKhD0_w,ALMojtama3 المجتمع,https://www.youtube.com/channel/UCZvBQYZwShZ-1wHsjEiTaZQ,2023-01-07T15:40:05.915Z
Watched أغرب موقف حصلي في حياتي #shorts,https://www.youtube.com/watch?v=BfwR2G_29RU,MahmoudIsmailTV,https://www.youtube.com/channel/UCdttmnJddGQZsXRL_DbqgWA,2023-01-07T09:03:39.539Z
Watched شاهد هذه الحاجة الفلسطينية من مدينة القدس,https://www.youtube.com/watch?v=HPyCD7hxP0E,مطبات - Mattabat,https://www.youtube.com/channel/UC5tm24VhUgv5DuUag0D0sMA,2023-01-06T20:05:37.762Z
Watched احزر مين : برا السالفة 😎,https://www.youtube.com/watch?v=auMQFuUkLD0,ALMojtama3 المجتمع,https://www.youtube.com/channel/UCZvBQYZwShZ-1wHsjEiTaZQ,2023-01-06T09:55:18.104Z
Watched عايزة تقعد مكانه في الباص - كيف حاجة وعمرك 70 سنة وحبلة؟ | #عماد_فراجين - مسلسل #وطن_ع_وتر,https://www.youtube.com/watch?v=wzJAdFpiH00,Aziz Sallam,https://www.youtube.com/channel/UC7vUSY5JKCdDGxty9X6-Cbw,2023-01-05T14:55:57.121Z
Watched شافته بعد 4 سنوات بنفس المكان #جيش_يزون #جيش_زيزو #shorts #fyp,https://www.youtube.com/watch?v=oZBRX9JJl3o,زيـزو ♡ .,https://www.youtube.com/channel/UCm1bfjvkyV5r-d9HzHhclKQ,2023-01-05T14:55:33.196Z
Watched عندما احتارو من هو رجل المباراة ⚽🔥,https://www.youtube.com/watch?v=qSRRV_GZZ2s,السفير سبورت - Alsafir Sport,https://www.youtube.com/channel/UCe2FXm6zEr5HLqa9SsD6yuQ,2023-01-05T14:55:23.108Z
Watched شركات التسويق ترفع قبعاتها احتراما 😂,https://www.youtube.com/watch?v=DDpUwhQDXHM,Dr sherif gamal,https://www.youtube.com/channel/UCNKd4eWZmofvOoWSB3-46Mw,2023-01-05T14:54:43.293Z
Watched وفرت 300 جنية بحركة بسيطه 💚 هتفيدك لو بتدرس 👨‍💻,https://www.youtube.com/watch?v=LH2YpQBHFBc,Syntax,https://www.youtube.com/channel/UCNMvR21W292doQIU326HQTQ,2023-01-05T14:54:11.370Z
Watched 2 января 2023 г.,https://www.youtube.com/watch?v=XIdUnj3FDQY,Настя фофанова,https://www.youtube.com/channel/UCl5SsfPNkIAE4jZKD5ata7w,2023-01-05T14:53:58.523Z
Watched لازم الدكتور يحس بمرضاه ♥️,https://www.youtube.com/watch?v=a3W5Zd54iCw,Dr sherif gamal,https://www.youtube.com/channel/UCNKd4eWZmofvOoWSB3-46Mw,2023-01-05T14:53:03.131Z
Watched كيف بقدر أزور فلسطين؟,https://www.youtube.com/watch?v=uXu_qFCOLi4,Saleh Zighari,https://www.youtube.com/channel/UCoMC1JBG_RP3aqpHLUGu_VQ,2023-01-05T14:52:29.500Z
Watched قصة حادث زوجة محمد عدنان 😱,https://www.youtube.com/watch?v=opI6bCujVes,YazanK يزن خضر,https://www.youtube.com/channel/UCRIZgdIdqiqNA6EW50yRGUA,2023-01-05T14:40:48.973Z
Watched رسالة من القلب 💙,https://www.youtube.com/watch?v=-UlejAFINeE,BanderitaX,https://www.youtube.com/channel/UCxEGVXh6fi-XYo58NZrbIHQ,2023-01-05T10:20:43.637Z
